Keyword,Keyword_ID,Category,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
c programming language,1,Programming & Development,1,1,9900,91,2.23,653,0.04,1456,0.03,7130000000,"[54,100,66,66,66,54,54,54,66,81,66,66]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, Discussions and forums, People also search",informational,People also ask
project charter,20,Others,1,1,9900,61,3.45,653,0.04,2252,0.07,269000000,"[44,81,81,66,81,66,54,44,44,66,66,44]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,People also ask
data analysis,20,Others,3,4,33100,85,6.51,628,0.04,4088,0.41,2190000000,"[20,24,81,100,24,24,24,20,29,44,24,20]",26-01-2025,"Knowledge panel, Video, Featured snippet, Image, People also ask, Related searches, Things to know, People also search",informational,Organic
business analyst salary,5,Business & Management,1,0,14800,27,2.48,606,0.04,1502,0.01,213000000,"[54,66,54,54,66,66,54,44,44,44,44,44]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",informational,People also ask
free website hosting,20,Others,1,1,14800,92,6.82,606,0.04,4132,0.41,744000000,"[24,36,54,36,66,66,36,54,29,100,54,44]",27-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, People also search, AI overview",informational,People also ask
agile project management,5,Business & Management,1,1,14800,58,4.76,606,0.04,2884,0.37,133000000,"[66,81,81,81,100,81,66,66,66,81,66,66]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, Ads bottom, People also ask, Related searches, Things to know, Ads middle",informational,People also ask
algorithm meaning,20,Others,1,1,14800,74,0.1,606,0.04,60,0.01,628000000,"[10,36,29,29,19,66,54,81,66,54,66,100]",26-01-2025,"Instant answer, Sitelinks, Video, Featured snippet, People also ask, Related searches, People also search",informational,People also ask
enumerate python,1,Programming & Development,2,1,14800,53,0.49,606,0.04,296,0,44500000,"[20,36,36,29,44,24,29,24,24,44,44,44]",26-01-2025,"Sitelinks, Video, People also ask, Related searches",informational,People also ask
python dictionary,1,Programming & Development,4,4,27100,80,0.83,596,0.04,494,0,84400000,"[44,66,66,54,66,44,54,44,36,54,44,36]",26-01-2025,"Sitelinks, Video, People also ask, Related searches",informational,People also ask
c#,1,Programming & Development,3,3,27100,97,1.99,596,0.04,1186,0.02,267000000,"[24,30,30,30,30,100,24,36,30,36,36,24]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Things to know",informational,People also ask
cyber security certifications,4,Cybersecurity,1,1,27100,72,12.13,596,0.04,7229,0.45,363000000,"[54,66,54,66,54,54,54,54,54,66,100,66]",27-01-2025,"Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches","commercial, informational",People also ask
hr interview questions,19,HR & Recruitment,1,1,2400,47,0.14,595,0.04,83,0.18,312000000,"[43,54,81,54,81,54,65,65,54,43,65,54]",24-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
sample vs population,20,Others,1,1,2400,48,0,595,0.04,0,0,1020000000,"[19,54,81,15,36,28,8,15,24,81,66,19]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Datasets",commercial,Organic
code language,20,Others,1,1,2400,98,1.2,595,0.04,714,0.05,4410000000,"[10,8,100,10,13,24,8,36,19,16,8,13]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, Things to know, People also search","commercial, informational",Organic
programing languages,20,Others,1,1,2400,85,1.56,595,0.04,928,0.05,1500000000,"[16,54,100,29,12,19,16,44,16,35,19,10]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search","commercial, informational",Organic
what does aws stand for,3,Cloud & DevOps,1,1,2400,86,2.31,595,0.04,1374,0.02,0,"[81,81,28,19,24,28,24,24,28,54,24,28]",20-01-2025,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches, People also search",informational,Organic
what is mining for bitcoin,20,Others,1,1,2400,79,0,595,0.04,0,0,57300000,"[81,81,13,16,66,0,0,0,0,0,0,3]",23-01-2025,"Sitelinks, Reviews, Video, Featured snippet, Ads bottom, People also ask, Related searches, People also search",informational,Organic
how to plot graph in excel,20,Others,1,1,2400,58,0.2,595,0.04,119,0.01,113000000,"[54,54,100,81,29,54,54,43,43,81,81,54]",23-01-2025,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, People also search",informational,Organic
business analyst interview questions,5,Business & Management,1,1,2400,31,0.25,595,0.04,148,0.23,119000000,"[44,44,44,53,81,44,35,44,53,35,35,29]",26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
spearman's rank,20,Others,1,1,2400,46,0,595,0.04,0,0,19900000,"[36,43,2,2,13,66,0,3,3,66,81,100]",23-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Things to know",informational,Organic
reasoning aptitude test logic pattern based questions in interviews,20,Others,1,1,2400,32,0,595,0.04,0,0,47600000,[100],27-01-2025,"Reviews, Video, People also ask, Related searches, Discussions and forums, People also search","commercial, informational",Organic
data analytics job description,2,Data & AI,1,1,2400,50,1.1,595,0.04,654,0.11,0,"[16,54,29,29,12,35,35,12,44,29,29,16]",20-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, People also search",commercial,Organic
what is mining bitcoin,20,Others,1,1,2400,80,0,595,0.04,0,0,140000000,"[7,7,24,13,7,7,7,7,7,16,4,16]",26-01-2025,"Top stories, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, People also search",informational,Organic
ordinal information,20,Others,1,1,2400,37,0,595,0.04,0,0,32200000,"[0,0,2,1,24,16,19,13,29,100,24,29]",27-01-2025,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
what usually a java backend developer do,1,Programming & Development,1,1,2400,16,0,595,0.04,0,0,38300000,[100],20-01-2025,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
new new technology,20,Others,1,1,2400,56,0.69,595,0.04,410,0.32,7820000000,"[66,36,24,43,36,24,28,36,36,36,54,10]",20-01-2025,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
kuberntes inerview,20,Others,1,1,2400,31,0,595,0.04,0,0,52900000,[100],26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, People also search",informational,Organic
blink html,1,Programming & Development,1,1,18100,54,0,588,0.04,0,0,115000000,"[54,44,67,67,100,81,24,10,29,67,67,44]",26-01-2025,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
excel keyboard shortcuts,20,Others,2,2,4400,50,0.1,580,0.04,58,0.48,89600000,"[66,19,19,15,15,100,66,66,29,29,23,15]",24-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
how to take apart a string in python,1,Programming & Development,2,2,4400,52,0,580,0.04,0,0,31100000,[100],24-01-2025,"Sitelinks, Video, People also ask, Related searches, Discussions and forums",informational,Organic
release anager,20,Others,1,1,4400,28,0,580,0.04,0,0,1480000000,[100],24-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
how have technological advancements changed our lives,20,Others,1,1,4400,63,0,580,0.04,0,0,682000000,"[100,0]",25-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Questions and answers, People also search, AI overview",informational,Organic
data analytics,2,Data & AI,1,0,33100,82,6.51,579,0.04,3769,0.41,2340000000,"[44,54,66,54,54,44,44,44,44,44,44,44]",26-01-2025,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know, People also search, AI overview",informational,People also ask
simplilearn americas,20,Others,1,1,720,33,2.31,576,0.04,1330,0.14,169000,"[0,0,0,0,0,55,65,44,100,4,8,5]",14-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know",navigational,Organic
c,20,Others,33,50,1830000,100,0.5,549,0.03,274,0.01,25270000000,"[20,20,54,20,29,24,20,20,24,24,36,24]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Things to know",informational,Organic
project manager positions,20,Others,1,1,4400,36,0.82,545,0.03,446,0.14,309000000,"[23,36,23,54,44,10,13,100,8,36,44,10]",26-01-2025,"Reviews, Video, People also ask, Related searches",commercial,People also ask
delete duplicates in excel,20,Others,3,4,18100,40,0.04,543,0.03,21,0,18000000,"[66,66,44,44,44,36,36,36,44,44,36,44]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
business planning,5,Business & Management,1,1,8100,90,3.24,534,0.03,1730,0.45,4030000000,"[29,24,44,44,29,44,8,19,24,8,16,16]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, Things to know",informational,People also ask
interpersonal skills meaning,8,CRM & ERP,1,1,8100,60,0.07,534,0.03,37,0.03,108000000,"[66,100,100,81,81,81,66,66,81,81,66,54]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums, People also search",informational,People also ask
rebase in git,20,Others,1,0,8100,65,0.85,534,0.03,453,0.02,5890000,"[19,3,24,66,66,81,54,29,24,100,29,66]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Things to know",informational,People also ask
c sharp,20,Others,1,1,8100,86,2.05,534,0.03,1094,0.01,1250000000,"[29,36,44,36,54,44,29,29,36,44,44,29]",27-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
standard deviation excel,20,Others,1,1,8100,44,0,534,0.03,0,0,46500000,"[19,36,44,36,44,24,16,19,29,81,54,44]",27-01-2025,"Video, Featured snippet, People also ask, Related searches",informational,People also ask
what is javascript,1,Programming & Development,1,1,8100,59,0.66,534,0.03,352,0.03,2630000000,"[66,81,66,81,81,54,44,54,54,81,66,54]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, People also search",informational,People also ask
how to code,20,Others,1,1,8100,55,2.4,534,0.03,1281,0.53,12610000000,"[54,66,66,54,54,54,44,44,44,54,54,44]",26-01-2025,"Sitelinks, People also ask, Related searches, Discussions and forums, People also search",informational,People also ask
what is six sigma,9,Quality & Process,1,1,8100,63,0.62,534,0.03,331,0.1,157000000,"[44,66,66,54,54,54,44,44,44,54,66,44]",26-01-2025,"Instant answer, Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,People also ask
excel in vlookup,20,Others,5,5,22200,68,0.07,532,0.03,37,0.01,25100000,"[36,81,66,66,81,100,66,54,100,100,100,100]",26-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
sales force,20,Others,1,1,40500,84,8.34,526,0.03,4386,0.1,1010000000,"[54,66,44,54,54,66,54,54,54,54,54,44]",26-01-2025,"Knowledge panel, Top stories, Image pack, Sitelinks, Reviews, Video, Image, Ads top, Ads bottom, People also ask, Related searches",navigational,People also ask
how to compare 2 columns in excel,20,Others,1,1,2900,28,0.06,503,0.03,30,0.01,347000000,"[100,65,36,81,43,54,65,65,65,54,43,43]",21-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
python loop,1,Programming & Development,1,1,2900,71,0.44,503,0.03,221,0.01,112000000,"[24,66,66,43,66,36,43,28,43,36,43,28]",23-01-2025,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
cyber security course,4,Cybersecurity,1,1,12100,76,14.71,496,0.03,7296,0.42,507000000,"[29,44,44,29,36,36,54,100,81,81,36,36]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, People also search",commercial,People also ask
technical skills,20,Others,1,1,12100,47,1.41,496,0.03,699,0.01,1060000000,"[54,81,81,81,66,66,44,44,66,81,81,66]",27-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,People also ask
correlation vs causation,20,Others,1,1,12100,66,0.47,496,0.03,233,0.01,72500000,"[66,54,81,66,66,54,54,54,81,100,100,81]",26-01-2025,"Image pack, Video, Featured snippet, People also ask, Related searches, Things to know, Discussions and forums",commercial,People also ask
bubble sort,20,Others,2,2,12100,65,2.31,496,0.03,1145,0,335000000,"[44,44,66,66,66,54,24,29,29,54,81,81]",27-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know",informational,People also ask
dmaic,2,Data & AI,1,2,12100,49,1.11,496,0.03,550,0.01,3780000,"[44,54,66,66,66,54,54,54,54,54,54,54]",26-01-2025,"Knowledge panel, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,People also ask
tech jobs,20,Others,1,1,12100,67,1.87,496,0.03,927,0.21,1340000000,"[44,66,66,66,66,81,66,81,81,81,54,66]",26-01-2025,"Sitelinks, Reviews, People also ask, Related searches",commercial,People also ask
pmp certification cost,15,Education & Certification,1,1,12100,45,2.59,496,0.03,1284,0.33,119000000,"[54,66,66,54,66,54,54,66,54,54,54,100]",26-01-2025,"Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches",informational,People also ask
data analysis,20,Others,2,4,33100,85,6.51,496,0.03,3228,0.41,2190000000,"[20,24,81,100,24,24,24,20,29,44,24,20]",26-01-2025,"Knowledge panel, Video, Featured snippet, Image, People also ask, Related searches, Things to know, People also search",informational,Things to know
what is microsoft access used for,20,Others,1,1,880,70,0.61,492,0.03,300,0.01,876000000,"[45,55,45,36,45,55,30,55,55,62,62,62]",15-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,AI overview
neural network,10,Networking & IT Support,1,0,22200,86,3.8,488,0.03,1854,0.02,252000000,"[54,81,81,67,100,67,67,67,67,67,81,67]",26-01-2025,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Things to know, People also search",informational,People also ask
free website,20,Others,1,0,22200,100,6.83,488,0.03,3333,0.62,24420000000,"[36,44,36,36,44,44,36,44,44,44,44,36]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, People also search",commercial,People also ask
network,10,Networking & IT Support,5,8,40500,86,2.71,486,0.03,1317,0.02,8320000000,"[54,66,66,81,81,66,44,81,66,66,81,66]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, People also search",informational,People also ask
business analyst jobs,5,Business & Management,1,1,14800,21,2.02,481,0.03,971,0.09,473000000,"[44,81,54,66,54,66,66,81,66,100,66,100]",26-01-2025,"Sitelinks, Video, People also ask, Related searches",commercial,People also ask
